category_key,category_label,calibrated_threshold,dev_precision,dev_recall,dev_f1,support
unsafe,Genel Güvensizlik,0.55,0.9412,0.9299,0.9355,499
CSAE,Çocuk İstismarı (CSAE),0.85,0.6111,1.0,0.7586,11
SELF_HARM_SUICIDE,Kendine Zarar / İntihar,0.85,0.9365,0.9833,0.9593,60
HARASSMENT_OFFENSIVE,Taciz / Ağır Hakaret,0.8,0.89,0.9347,0.9118,199
VIOLENT_CRIMES,Şiddet Eylemleri / Tehdit,0.8,0.8308,0.7941,0.812,68
PRIVACY_VIOLATION,Gizlilik / KVKK,0.8,0.7692,0.9524,0.8511,21
HATE_DISCRIMINATION,Nefret / Ayrımcılık,0.65,0.7818,0.8958,0.835,96
SEXUAL_CONTENT_ADULT,Müstehcenlik / Yetişkin,0.5,0.8718,0.9444,0.9067,72
INJECTION_JAILBREAK,Komut / Jailbreak,0.45,0.7973,0.9365,0.8613,63
MISINFORMATION_POLITICAL,Siyasi Dezenformasyon,0.35,1.0,0.875,0.9333,16
NON_VIOLENT_CRIMES,Yasadışı / Finansal Suç,0.3,0.6923,0.766,0.7273,47
