test_id,category,review_expected,review_predicted,review_priority,unsafe_prob,spam_score,repetition_score,coordination_score,passed,explanation
sanity-001,SAFE,False,False,LOW,0.0,0.0,0.0,0.0,True,İçerik rutin parametreler dahilindedir. Model ve sezgisel denetimlerde inceleme gerektiren bir risk unsuru saptanmamıştır.
sanity-002,SAFE,False,False,LOW,0.0,0.0,0.0,0.0,True,İçerik rutin parametreler dahilindedir. Model ve sezgisel denetimlerde inceleme gerektiren bir risk unsuru saptanmamıştır.
sanity-003,SAFE,False,False,LOW,0.0,0.0,0.0467,0.0,True,İçerik rutin parametreler dahilindedir. Model ve sezgisel denetimlerde inceleme gerektiren bir risk unsuru saptanmamıştır.
sanity-004,SAFE,False,False,LOW,0.0,0.0,0.0,0.0,True,İçerik rutin parametreler dahilindedir. Model ve sezgisel denetimlerde inceleme gerektiren bir risk unsuru saptanmamıştır.
sanity-005,HARASSMENT_OFFENSIVE,True,True,HIGH,1.0,0.0,0.0538,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Model Risk Sinyali: Taciz/Ağır Hakaret Riski (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-006,HARASSMENT_OFFENSIVE,True,True,HIGH,1.0,0.0,0.0538,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Model Risk Sinyali: Taciz/Ağır Hakaret Riski (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-007,HATE_DISCRIMINATION,True,True,CRITICAL,0.9997,0.0,0.0,0.0,True,Moderasyon İnceleme Önceliği: [CRITICAL]. Tespit edilen risk göstergeleri: Model Risk Sinyali: Şiddet Eylemi/Tehdit Riski (%59.5). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-008,SPAM,True,True,HIGH,0.9971,1.0,0.1273,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Sezgisel Sinyal: Yüksek Yoğunluklu Spam/Sahte Bağlantı (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-009,SPAM,True,True,HIGH,0.7891,0.9,0.0,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Sezgisel Sinyal: Yüksek Yoğunluklu Spam/Sahte Bağlantı (%90.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-010,COORDINATED_SPAM,True,True,HIGH,0.3495,1.0,0.9,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Sezgisel Sinyal: Yüksek Yoğunluklu Spam/Sahte Bağlantı (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-011,COORDINATED_SPAM,True,True,HIGH,0.3495,1.0,0.9,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Sezgisel Sinyal: Yüksek Yoğunluklu Spam/Sahte Bağlantı (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
sanity-012,COORDINATED_SPAM,True,True,HIGH,0.3495,1.0,0.9,0.0,True,Moderasyon İnceleme Önceliği: [HIGH]. Tespit edilen risk göstergeleri: Sezgisel Sinyal: Yüksek Yoğunluklu Spam/Sahte Bağlantı (%100.0). İnsan moderatör incelemesi tavsiye edilmektedir.
